id	author	page	piece of text	concept	reference page	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	author position	analytic stylistic category	synthetic stylistic category	major stylistic category	minor stylistic category	aestheticity
--									Explanation		Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal			
1	Danto			Essenza		-	-					Nominale: La scelta di alcuni concetti, alcuni termini e alcune formulazioni segnala chiaramente l'orientamento ontologico-metafisico dell'indagine di Danto			
1.1			Now there is a problem of a familiar metaphysical sort concerning the identity of an artwork		33			Essenza dell'opera d'arte: type e token	l'identità di un'opera è ciò che la rende tale: la sua essenza			Vd: synthetic stylistic category; 1			
1.2			the poem		33			Essenza dell'opera d'arte: type e token	Si riferisce all'essenza dell'opera d'arte			Vd: synthetic stylistic category; 1			
1.3			the Poem Itself		33			Essenza dell'opera d'arte: type e token	Vd: gloss; 1.2			Vd: synthetic stylistic category; 1			
1.4			Often enough poets and philosophers have thought of artworks as thus only tenously connected with their embodiments		33			Essenza dell'opera d'arte: type e token	Danto ritiene che un'analisi della dimensione sensibile non sia utile al fine di definire che cosa è opera d'arte			Vd: synthetic stylistic category; 1			
1.5			characterize the work(s)		35			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	characterize significa definire l'identità			Vd: synthetic stylistic category; 1			
1.6			the essence of the work		36			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?				Vd: synthetic stylistic category; 1			
1.7			the identity of a work		39			Tentativo in negativo di definizione del prodotto di Menard: la sua storia causale determina ontologicamente un ente	Vd: gloss; 1.1			Vd: synthetic stylistic category; 1			
2				Classificazione degli enti		.	.		Vd: gloss; 1			Vd: synthetic stylistic category; 1			
2.1			the class of its copies		33			Essenza dell'opera d'arte: type e token	Classi di enti sono l'esito di un esercizio di classificazione ontologica			Vd: synthetic stylistic category; 1			
2.2			artworks as a class		33			Essenza dell'opera d'arte: type e token	Vd: gloss; 2.1			Vd: synthetic stylistic category; 1			
2.3			classes of indiscernible copies, the one class copies of the work of Cervantes, the other copies of that of Menard		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 2.1			Vd: synthetic stylistic category; 1			
2.4			but these would be copies of different, even importantly different, works, though nothing would be easier than to mistake a copy of Cervantes for a copy of Menard		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Differenza e identicità sono il parametro fondamentale di ogni tentativo di classicazione di enti			Vd: synthetic stylistic category; 1			
2.5			The question then is what makes them copies of different works?		34			Caso Cervantes-Menard: due opere percettivamente indiscernibili sono la stessa opera?	Vd: gloss; 2.4			Vd: synthetic stylistic category; 1			
2.6			these are deeply different works		36			Caso Cervantes-Menard: la sua storia causale determina ontologicamente un ente	Vd: gloss; 2.4			Vd: synthetic stylistic category; 1			
2.7			So what he produced was a work and his: it was not a copy therefore		36			Tentativo in negativo di definizione del prodotto di Menard: non è una copia				Vd: synthetic stylistic category; 1			
