id	author	page	piece of text	concept	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	analytic stylistic category	synthetic stylistic category	aestheticity
--								Explanation	Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal	
1	Dewey	35	experience occurs continuously, because the interaction of live creature and enviroining conditions is involved in the very process of living	experience	vital sense	live creature		here is explained what the author means when he talks about the esperience and he intends to explain what specifically means having an experience			
		36	because of the continuous merging, there are no holes, mechanical junctions and dead centers when we have an experience	work of art	unity	experience		the expeirence is a whole even when it refers to a single experience, the author is looking for a definition of what is definetly an experience.			
2			work of art	is the other term of comparison in addition to the experience							
			in a work of art, different acts, episodes, occurrences melt and fuse into unity, and yet do not disappear and lose their own character as they do so there is a continuous interchange and blending					Dewey compare the work of art with the experience, in both of them there are no holes, no interruption, every part flows.  			
2.1		38	hence an experience of thinking has its own esthetic quality	thinking			esthetic quality	introduction of the consept of the experience of thinking as something that has esthetic quality, also the inteelectual expereince is complete only when it has an esthetic aspect			
			the experience itself has a satisfying emotional quality bacause it possesses internal integration and fullfilment reached through ordered and organised movement	emotional quality	fulfillment	movement		the experience in itself has emotional quality thanks to the organised movement that it has in itself			
2.2			it is possible to be efficient in action and yet not have a conscious experience. the activity is too automatic to permit of a sense of what it is about and where it is going.	action	efficient	unconscious expereince					
					automatic						
2.3		39	the experience may be one that is harmful to the world and its consummation undesiderable. but it has esthetic quality	morality				even if an action is estheic it does not mean that it is moral (for example the concept of the kalon-agathon of the greek culture), but every practical activity has esthetic quality			
				practical activity			esthetic quality				
3		40	when the esthetic appears, it so sharply contrasts with the picture that has been formed of experience, that it is impossible to combine its special qualities with the features of the picture and the esthetic is given an outside place and status.					the esthetic, in an experience, is generally given outside of the experience itself, estheticity can be find out of the framework of experience			
			the enemies of the esthetic are neither the practical nor the intellectual. thy are humdrum, slackness of loose ends; submission to convention in practice and intellectual procedure	enemies 		incoherence		we have ascenrtained that the enemies of the esthetic are not the pratical or the intellectual, because both of them have esthetic qualities in themselfes. the real enemies are all the things that goes in the opposite direction from the unity of an experience (such as humdrum, dissipation, incoherence). 			
3.1		41	every integral experience moves toward a close, an ending, since it ceases only when the energies active in it have done their proper work	integral expereince	ending	work		here there is a resume of what the author has said up to this point: every experience has a closure of a circuit of energy.			
			this closure of a circuit of energy is the opposite of arrest, of stasis	closure	opposite	stasis		the closure of this energy circute is not a stasis of energy.			
			there is an element of undergoing, of suffering in its large sense, in every experience	vital expereince	reconstruction	painful		this element of undergoing, of suffering, is indifferent to the esthetic, every experience has in itself an element that is painful. 			
						undergoing					
			emotions are qualities, whemn they are significant, all emotions are qualifications of a drama and they change ad the drama develops	emotions	significant	qualities		emotions are qualities only when they are significant			
4		42	expereince is emotional but there are no separate things called emotions in it	emotional	separate	emotions		there is not a separation between the emotions in an experience, there are, rather, emotional expereinces. 			
			when the unity is of the sort already described, the expereince has esthetic character even though it is not, dominantly, an esthetic expereince	unity	described	experience	esthetic expereince	when an experience has a unity, despite all the parts of the experience, and the unity is described, the expereince has esthetic carachter			
4.1		43	its nature [the nature of the experience] and import can be expressed only by art, because there is a unity of expereince that can be expressed only as an expereince	art	unity	experience	art	here is made explicit the relation between the experience and the work of art: the unity of the art can be compared with the unity of the experience			the word "esthetic" refers to the experience as appreciative, perceiving, and enjoying. it denotes the consumer's rather than the producer standpoint
					expression						
4.2		43/44	every experience is the result of an interaction between ther live creature and some aspect of the world in which he lives	live creature	experience	world		here is resumed and explained what is, in the end, an experience			
		44	an experience has pattern and structure, because it is not just doing and undergoing in alternation, but consists of them in relationship	doing	relationship	undergoing		the real sense of an experience consist in the relationship of doing and undergoing, and it is what gives the meaning to the experience			
		45	some decisive action is needed in order to estabilish contact with the realities of the world and in order that impressions may be so related to facts that their value is tested and organised	action	contact	realities of the world					
				impressions	relation	tested					
				facts		organised					
			Because perception of relationship between what is done and what is undergone constitutes the work of intelligence, and because the artist is controlled in the process of his work by his grasp of the connection between what he has already done and what he is to do next, the idea that the artist does not think as intently and penetratingly as a scientific inquirer is absurd.	artist	process	work	artist				here is the definition of the esthetic related to the concept of the work of art and the artist, Dewey use it to explain later the relation between the artistic and the experience
						idea					
