D	author		piece of text	concept	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	analytic stylistic category	synthetic stylistic category	page number	aestheticity	diagramma
--								Explanation	Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal			
	Dewey							 					
1		p. 58	Every experience, of slight or tremendous import, begins with an impulsion, rather as an impulsion. [...] "Impulsion" designates a movement outward and forward of the whole organism to which special impulses are auxiliary. It is the craving of the living creature for food as distinct from the reactions of toungue and lips that are involved in swallowing; the turning toward light of the body as a whole [...] as distinct from the following of of a particoular light by the eyes.	Unity of the organism			of the body as a whole; organism in its entirety; whole self	The concept of unity and entirety of a living creature is fundamental in Dewey'aesthetic theory. It is the base concept upon which he develops and articulates the entirety of his theory.	Descriptive through examples	Verbal/nominal			
1.1		p. 58	cp. 1		The unity of the experience of an organism is what produces an impulsion, rather than a simple impulse, which only involves some of the organism's parts. 	Impulsion			cp. 1	cp. 1			
1.2		p. 71	Some occasion [...] stirs the personaliry that has been thus formed. Then comes the need for expression. What is expressed will be neither the part events that have excercised theire shaping influence nor yet the literal existing occasion. It will be [...] an intimate union of the features of present experience with the values that past experience have incorporated in personality. Immediacy and individuality, the traits that mark concrete existence, come from the present occasion; meaning, substance, content, from what is embedded in the self from the past. 		The entire organism utilises a particoular mean to express a specific emotion; once the material used is properly reformed and modified, it acquires meaning and substance. The meaning that the object has acquired doesn't derive only from the present experience, but it draws elements from the whole personality and life experience of the artist who shaped it. 	Meaning	intimate union; incorporated in personality;	An expression, in order to be fully developed, is supposed to impress a new meaning to an old object; in other words, it must re-form it, make it acquire a new meaning before the object re-enters the world. This can be achieved only if the whole personality of the artist - along with all of their past experiences - is involved	progressive-linear and paratactic	Verbal			
1.3		p. 81	We live in a world in which ther is an immense ammount of organization, but it is an external organization, not one of the ordering of a growing experience, one that involves, moreover, the whole of the live creature, toward a fulfilling conclusion.		The experience in which is involved the whole of the live creature leads to a fulfilling conclusion, which enriches the creature itself and produces an aesthetic emotion 	Fulfillment 	whole of the live creature	The fulfillment is the sign of a succesful aesthetic product. If something is aesthetic, then it will evoke in those who experience it a felling of fullness and fulfillment. 	?	Verbal			
2		p. 63	Etymologically, and act of expression is a squeezing out, a pressing forth. Juice is expressed when grapes are crushed in the wine press; [...] lard and oil are rendered when certain fats are subjected to heat and pressure. Nothing is pressed forth except from original raw or natural material. But it is equally true that the mere issuing forth or discharge of raw material is not expression. Through the interaction with something external to it, the wine press, or the treading foot of man, juice results.	Processuality				The concept of processuality is key in Dewey's aesthetic theory, and it's the focal concept of this particoular chapter. In order to achive an act of true expression, the means used must undergo a process of modification, which invokves the interaction with both the artist - meaning their present and past emotions and experiences - and other means	In relation to this particoular concept, Dewey utilises a significant metaphor, the procedure of extraction of juice. It is a tipycal trait of his style, that of referring to concrete situations to clarify important junctions of the text. It is a charachteristic that may qualify his style as visual, descriptive and evocative.  	Verbal			
		p. 59					process of converting						
		p. 75					process of gestation						
2.1		p. 62	The transformation of sounds, babblings, lalling, and so forth, into language is a perfect illustration of the way in which acts of expression are brought into existence and also of the difference between them and mere acts of discharge		Throughout a process, which also involves the acquirying of meaning, the original mean and impulsion are transformed and reformed	Transformation	carry forward in development; to work out to completion; brought into expistence		Descriptive through examples	Verbal			
		p. 82					transformation of the primitive emotion						
											p. 62	An activity that was "natural" [...] is transformed because it is undertaken as a means to a conciously entertained consequence. Such transformation marks evert deed of art. 	
											p. 79	In other words, art is not nature, but is nature transformed by entering into new relationships where it evokes a new emotional respons	
2.2		p. 63	cp. 2		The cocnept of processuality is equally close to the one of transformation and interaction. Through a process of interaction and transformation, the final act of expression results	Interaction	squeezing out; pressing forth; mere issuing forth [...] is not expression		cp. 2	cp. 2			
											p. 64	The real work of art is the builing up of an integral experience out of the interaction of organic and environmental conditions and energies.	
2.3		p. 65	It means that the expression of the self in and through a medium, constituting the work of art, is itself a prolonged interaction of something issuing from the self with objective conditions, a process in which both of them acquire a form and order they did not at first possess. Even the Almighty took seven days to create the heaven and the earth [...].		The concept of processuality also refers to the actual time that is required to fulfill the act of expression, not only to the process itself that both the material and the artist must undergo. 	Time	is a construction in time; prolonged interaction		Descriptive through example, paratactic	Verbal			
3		p. 62	At first a baby weeps, just as it turns its head to follow light; there is an inner urge but nothing to express. As the infant matures, he learns that particular acts effect different consequences, that, for example, he attains attention if he cries [...]. He thus begins to be aware of the meaning of what he does. As he grasps the meaning of an act at first performed from sheer internal pressure, he becomes capable of acts of true expression. 	Consciousness			be aware of; grasps the meaning;	Beign aware of what we're doing, being intentional in our actions is a prerequisite in order to achive a true act of expression. The subject must play an active and intentional role in the action of creating and expressing.  	progressive-linear, descriptive through examples	Verbal			
3.1		p. 65	The final comment is that when excitement about subject matter goes deep, it stirs uo a store of attitudes and meanings derived from prior experience. As they are aroused into activity they become conscious thoughts and emotions, emotionalized images. 		Being concious of the original impulsion or emotion means being able to instert it in the complection of past experiences  	Emotion	become concious thoughts and emotions		progressive-linear	Verbal			
		p. 70					emotion is informed and carried forward						
											p. 76	In formal definition, emotion is esthetic when it adheres to an object formed by an expressive act, in the sense in which the act of expression has been defined	
3.2		p. 66	Hence it is not mere excitement that is expressed but excitement-about- something; [...] an emotion is to or from or about something objective, wheter in fact or in idea. An emotion is implicated in a situation, the issue of which is in suspense and in which the self thta is moved in the emotion is vitally concerned.		When we become conscious about our actions, we understand why we want to express a certain thing in a certain way; in other words, we may say that we become aware of the goal of our expressions.	Goal	excitement-about-something		Descriptive, paratactic	Verbal			
