TextualFactoid	author	page	piece of text	concept	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	analytic stylistic category	synthetic stylistic category	aestheticity
--								Explanation	Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal	
1		82	the product, the object that is expressive, that says something to us	the expressive object	Definition of the status of the art object as	product		even if the object is defined as a product, implying it's a product from an operational standpoint, this term shouldn't be taken as merely passive. An expressive object is an art object or artwork that successfully communicates an experience. 		verbal	
1.1		82					individuality of vision	This object encapsulates the emotional and intellectual experiences of the artist,  transforming those experiences into a form that can be perceived and appreciated by others.			
1.2		82	the opposition of individual and universal, of subjective and objective, of freedom and order […] have no place in the work of art		not just about the final product but about the entire process of creation	Subject-Object Interdependence		Dewey's operation is anti-oppositional and relational, employing a process reminiscent of Hegelian aufhebung in emphasizing, both conceptually and practically, the reciprocal relationship between the dualisms typical of Western philosophy.	dialectic		
2		82	«the act proceeds from an individual live creature», «the individual contribution which makes the object something new», «the act of expressing from the espressiveness possessed by the object» 	act of expression				semantic area of productivity			
2.1		83					aesthetic process	The author intends to describe the aesthetic process with factual examples and connections between the theoretical approach and the consequences in factual reality	descriptive, progressive-linear		
3		83		representation	In analogy with	reproduction		 reproduction of the art object as a mere copy (e.g. to Plato's critique of art)			
3.1					Bidirectional correlation	experience		reproduction of a way of experiencing the world			
4		86	Yet the meaning is there; it is there as something beyond the occasion of the painter’s private experience, something that he takes to be there potentially for others	meaning	inherent in objects or events themselves	External Reference		something that "stands for" (something else)	dialectic		
4.1					not "inherent in" object but  created through a dynamic interaction 	Intrinsic to the experienced object		Objects within the environment possess qualities that precede the noematic component of feeling			
5				working connections				Dewey reiterates in the text the idea of operational connections that are exploratory. It is no coincidence that the object of art is a work of art: the connections it implies must be working, effective and operational			
6		84		statement	in opposition to	expression		The "statement" outlines some conditions necessary to acquire that experience. It has a descriptive role, similar to that of a road sign, but it can also have operational value, as seen in science. On the other hand, "expression" captures the inner essence of things. This inner nature is the opposite of the "external reference".			
6.1							fulfillement	in the case of the "statement" there is a reference to the conditions that, simply, must be fulfilled. The fulfillement is different in the case of expression: here there is no adaptation to external references, but a full intrinsic fulfillment to the experience itself, that is, to reach fulfilment in its intrinsic essence. 			
6.2		85					poetic/prosaic, esthetic art/scientific, to lead/ to constitute an experience 	different concepts that emerge from the opposition of statement and expression in reference to language, knowledge and experience			
7		86		individual (private)	Non-oppositional and bidirectional correlation	intersubjective	cfr. 1.2	Despite being the product of the artist's personal experience, the meaning transcends this, potentially resonating with others. The artwork inherently possesses expressiveness, yet individual perception is part of a shared process, emphasizing the absence of a purely private language. Individuality does not equate to complete privacy, as it would lead to nonsensical outcomes (e.g. Wittgenstein's critique of private language)			
7.1							consummatory fulfillement	"Potentially" refers to a form of "dynamis" that becomes "energheia" whem consumed. Art plays a privileged role in a process that involves the reconfiguration of material processes into a consummatory fulfillment, the result of a sensibility exercise in materiality, transformed into experiential processes through a metabolic mechanism which is never exclusively subjective.			
8				subject matter				The artist's process involves manipulating the material, selecting and organizing an external subject matter. Emphasis is placed on the importance of the material, the subject matter, which serves as the foundation upon which the artistic action is taken and takes shape. This underscores how the chaotic and accidental elements are harmonized into rhythm through the artist's intervention			
9		87		perception	Correlation of meaning and simultaneity	construction		Perception and construction are intertwined. Sight is exercised on the material; one learns to see better and to make a selection that doesn't necessarily originate solely from the artist as the operating subject but is also stimulated and directed by the object itself, establishing a relationship of mutual perception and spatial formation.	visual, dialectic		
9.1		94					phenomenology of perception	The author describes the process of perception-construction using a phenomenological approach, highlighting the material processes involved in selecting lines, colors, and spatial relationships between subject and object. The reference to Cezanne exemplifies this, emphasizing the enjoyment of perception inherent in his work. This concept is further explored by Merleau-Ponty, who uses Cezanne as an example of rejecting geometric-analytical perspective in favor of reclaiming perceptual experience. Terms describing the functionality of the optical apparatus vividly illustrate the aesthetic operation of the mind and perception.	visual		
9.2		100	While the optical apparatus may be isolated in anatomical dissection, it never functions in isolations. It operates in connection with the hand in reaching for things and in exploring their surface, […] the sense-qualities coming to us by means of the optical apparatus are simultaneously bound up with those that come to us from object				aesthetic operativity of the mind	The terms chosen to describe the overall functionality of the optical apparatus make the aesthetic operativity of the mind and perception vividly clear			
10		86		emotion	Developments in contemporary research	enactivism		emotional turmoil and external events merge in expressive objects. This is significant within Dewey's three-part definition of emotion: feeling, intentional behavior, and objects with emotional qualities. Objects can organically excite our ideo-motor apparatus, influencing the conscious experience of observers. This interaction is shaped by memories integrated into the self's structure. This perspective aligns with contemporary brain science theories like enactivism, which propose that cognitive structures develop through interactions between individuals and their environment, rather than being pre-existing and separate.			
11				environment				The author's reference to the environment indicates a preference for an approach to aesthetic experience not only descriptive but also adhering to material and pragmatic processes resulting from the described interaction. This interaction can lead to physical distortion due to the nature of the perceptual process itself. Dewey emphasizes that "drawing is drawing out," implying an extraction from the subject matter of what a particular artist has to say in a specific experience.			
11.1							qualities of perceived object	Perceptual experiences are tied to contingent connections.Qualities of perceived objects are sensory rather than referring to an abstract scale. The prefix "re-" underscores how previous experiences shape the current approach to the world and contribute to a new understanding of aesthetic perception. Dewey's articulation emphasizes the selection of aspects and qualities that enable control and assert subjectivity as agency, without resorting to a substantialist dogmatization of the individual.			
11.2							agency	Dewey describes a dual agency, to which both the object and the subject contribute.			
11.3		91	Through habits formed in intercourse with the world, we also in-habit the world.			habits		a wordplay that probably refers to the etymological derivation of "habits" and "in-habits" from the Latin "Habere":  Having yourself (habits, what is constitutive of the self) also involves having a place, a common background of mutual foundation not only between individuals but also between the individual and the world. 			
		103									the expressiveness of the object of art is due to the fact that presents a complete interpretation of the materials of undergoing and of action […]. The expressions of the object is the report and celebration of the complete fusion of what we undergo and what our activity of attentive perception brings into what we receive by means of the senses
