id	author	page	piece of text	concept	reference page	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	author's position	analytic stylistic category	synthetic stylistic category	major stylistic category	minor stylistic category	aestheticity
--									Explanation		Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal			
	Sibley														
1		1	"I am interested in what they all have in common."	aesthetic concept	p.2-23			the analysis is extended to the "discourse in everyday life", not only works of art	In this first introductory chapter, Sibley is starting to describe what makes an aesthetic concept or term unique in it's use, application, so that we can understand what all aesthetic terms have in common. 			Adjectival			Sibley wants to identify what kind of qualities all aesthetic concepts, that require the ability of taste to be employed, have in common, because "aesthetic terms have been so largely neglected. They have received glancing treatment in the course of other aesthetic discussions; but as a broad category they have not received the direct attention they merit." (see p. 3)
1.1		1	"Accordingly, when a word or expression is such that taste or perceptiveness is required in order to apply it, I shall call it an aesthetic term or expression, and I shall, correspondingly, speak of aesthetic concepts or taste concepts.1"		p. 2-11, p.13, p.14, p. 20-23	concept 2 is entailed in order to apply concept 1	taste	the condition of possibilty of employing aesthetic concepts	When talking about what differentiates aesthetic concepts from other types of descriptions (even of works of art), Sibley says that a certain ability or capacity is implied, which is "taste, perceptiveness, or sensitivity, of aesthetic discrimination or appreciation".		descriptive				
1.2		3	"In short, aesthetic terms always ultimately apply because of, and aesthetic qualities always ultimately depend upon, the presence of features which, like curving or angular lines, colour contrasts, placing of masses, or speed of movement, are visible, audible, or otherwise discernible without any exercise of taste or sensibility."			concept 2 is used to describe concept 1	non-aesthetic terms or concepts	the relationship between the use of aesthetic and non-aesthetic concepts	Sibley analyses the dependence that accures between aesthetic and non-aesthetic terms, namely that non-aesthetics terms are always used to describe aesthetic ones. 						
		13	"It is a characteristic and essential feature of judgements which employ an aesthetic term that they cannot be made by appealing, in the sense explained, to non-aesthetic conditions.9"			the employement of concept 1 cannot be made by using concept 2 conditions									
		4	"there are no non-aesthetic features which serve in any circumstances as logically sufficient conditions for applying aesthetic terms."			concept 2 is not a logically sufficient condition for applying concept 1			The dependence between non-aesthetic and aesthetic terms is not of the A implies B type, A beeing non-aesthetic and B beeing aesthetic terms. 						
1.3		9	"Nothing like this is possible with aesthetic terms. Examples undoubtedly play a crucial role in giving us a grasp of these concepts; but we do not and cannot derive from these examples conditions and principles, however complex, which will enable us, if we are consistent, to apply die terms even to some new cases."			concept 2 isn't used to state concept 1	rules, conditions and principles								
1.4		20	"Aesthetic concepts are as natural, as little esoteric, as any others."			concept 1 doesn't involve concept 2	unnatural, esoteric language and use								Sibley argues against a commun misconception, according to which aesthetic concepts and qualities pertain to a very specific, esoteric domain. Sibley thinks that this isn't true, aesthetic concepts just have different rules, contexts and aren't as straight-forward as the non-aesthetic ones.
1.5		2	"Having entered the language of art description and criticism as metaphors they are now standard vocabulary in that language."		p.20 	concept 2 is sometimes involved with the making with concept 1 but once concept 1 is formed concept 2 doesn't serve it's usual purpose	metaphors	the process that makes it possible to use an aesthetic concept or description							Sibley argues that for us to use an aesthetic word or concept there should be a sort of trasfert of meaning, from a literal to a quasi or metaphorical sense, that leads us to ufficially use an aesthetic concept in it's proper, specific and natural sense.
2		4	"Aesthetic or taste concepts are not in this respect condition-governed at all."	condition-governed		concept 1 is NOT involved with concept 2	aethetic concept		Sibley here finds that one of the things that makes an aesthetic description, is the fact that it's not logically governed by necessary and sufficient conditions of any type. 		descriptive, linear				
		5	"There are no sufficient conditions, no non-aesthetic features such that the presence of some set or numbers of them will beyond question logically justify or warrant the application of an aesthetic term."												
		4	"In recent times philosophers have broken the spell of the strict necessary-and-sufficient model by showing that many everyday concepts are not of that type. Instead, they have described various other types of concepts which are governed only in a much looser way by conditions. However, since these newer models provide satisfactory accounts of many familiar concepts, it might plausibly be thought that aesthetic concepts are of some such kind and that they similarly are governed in some looser way by conditions. I want to argue that aesthetic concepts differ radically from any of these other concepts."							Sibley uses a recurring phenomenon in recent philosophy only to state that his object of analysis differs even from this.	dialectic				
			"These instances where there appear to be rules are peripheral cases of the use of aesthetic terms"			concept 1 is sometimes involved in stating concept 2, but it's an exception to the rule, a peripheral case					dialectic				
2.1		6	"I do not wish to deny therefore that taste concepts may be governed negatively by conditions."		p. 8, p.13	concept 2 is the exception of concept 1	condition-governed, negatively								
