id	author	page	piece of text	concept	reference page	relation to concept#2	concept#2	concept neighborhood (aesthetic aspect)	gloss	author's position	analytic stylistic category	synthetic stylistic category	aestheticity	diagram
--									Explanation		Descriptive Honorific Metaphoric Evocative Visual Dialectic As a thesis Progressive-linear Paratactic	Verbal Adjectival Nominal		
1	Sibley	33	"Many judgements about the shape, colour, sound, wording, subject-matter, or composition of things, including works of art, are such that it would be ludicrous to suggest that aesthetic sensitivity, perceptiveness, or taste had been exhibited in making them. (...) Accordingly, I speak of non-aesthetic judgements, qualities, descriptions, and concepts."	Non-aesthetic judgements, qualities, descriptions and concepts		 Concept 1 is not involved with concept 2	Aesthetic sensitivity	General distinction between aesthetic and non aesthetic	Non-aesthetic judgements, qualities, descriptions and concepts do not involve taste, perceptiveness or aesthetic sensitivity.		Paratactic			
1.2		33	"By contrast, there are other judgements the making of which could clearly be said to exhibit an exercise of aesthetic sensitivity or perceptiveness. (...) Accordingly, I speak of aesthetic judgements, qualities, descriptions, and concepts."	Aesthetic judgements, qualities, descriptions and concepts	37, 38, 40	Concept 1 is involved with concept 2	Aesthetic sensitivity	General distinction between aesthetic and non aesthetic	Aesthetic judgements, qualities, descriptions and concepts necessarily involve aesthetic sensitivity, perceptiveness or taste. 		Paratactic			
2		34	"We need therefore to investigate how we make such judgements and how we justify and explain them; we need also to examine further the aesthetic qualities and concepts (...). To do this, various relationship must be disentangled; (...) between the aesthetic and non-aesthetic properties of things, and relationships between some aesthetic and non-aesthetic judgements (...)"	Intentions					Intention to investigate the relationship between aesthetic and non-aesthetic in order to understand aesthetic qualities and concepts and the way we make and explain aesthetic judgements		Paratactic			
3		34	"Aesthetics deals with a kind of perception. People have to see the grace or unity of a work, hear the plaintiveness or frenzy in the music, (...). They may be struck by these qualities at once, or they may come to perceive them only after repeated viewings, hearings, or readings, and with the help of critics. But unless they do perceive them for themselves, aesthetic enjoyment, appreciation, and judgement are beyond them. (...); the crucial thing is to see, hear, or feel."	Aesthetic perception	38, 40				Perception is required for aesthetic enjoyment, appreciation and judgement. People cannot make aesthetic judgments unless they perceive for themselves the aesthetic qualities.		Descriptive 		Aesthetics deals with a kind of perception	
3.1		34	"To suppose indeed that one can make aesthetic judgements without aesthetic perception, say, by following rules of some kind, is to misunderstand aesthetic judgement." 	 		Concept 1 is implied in concept 2	Aesthetic judgements		The role of aesthetic perception as the divide between aesthetic and non-aesthetic is reiterated, now specifically referring to aesthetic judgements, and it is raised the point that aesthetic judgements cannot be made by following rules		Progressive-linear			
4		35	"This therefore is how I shall use 'aesthetic judgement' throughout. Where there is no question of aesthetic perception, I shall use some other expression like 'attribution of aesthetic quality' or 'aesthetic statement'."	Aesthetic judgements		Concept 1 is differentiated from concept 2	Attribution of aesthetic quality or aesthetic statement		The fundamental terms of the analysis are laid out, the rigorous demarcation of the basic concepts lays the ground for the following arguments. Aesthetic judgements involve aesthetc sensitivity.		Expository	Adjectival		
5		35	"(i) Aesthetic qualities are dependent upon non-aesthetic ones for their existence. They could no more occur in isolation than there could be facial resemblances without features, or grins without faces; the converse is not true. (ii) The non-aesthetic qualities of a thing determine its aesthetic qualities. Any aesthetic character a thing has depends upon the character of the non-aesthetic qualities it has or appears to have, and changes in its aesthetic character result from changes in its non-aesthetic qualities. Aesthetic qualities are 'emergent'. Like (i) above, which it entails, (ii) concerns the nature of aesthetic properties in general."	Dependence of the aesthetic on the non-aesthetic	37, 45	Concept 1 is implied in concept 2	Emergency	General relationship bewteen aesthetic and non-aesthetic	First two relationships established between aesthetic and non-aesthetic qualities, purely general. Again, the author lays down the basic elements of the analysis before delving into the actual argument.			Adjectival		
		35	(iii) [...] the particular aesthetic character of something may be said to result from the totality of its relevant non-aesthetic characteristics. [...] One might say that it is because everything about the work is exactly as it is—this colour here, that line there, and so on indefinitely—that it is graceful or moving or unbalanced. [...] This third relationship might therefore appropriately be called the relation of total specific dependence.	Total specific dependence					After stating the general relationship of dependence between aesthetic and non-aesthetic qualities, the author elaborates on one of the particular relations existing between them, and names the third relationship "the relation of total specific dependence".			Adjectival		
		36	(iv) The other relationship, the fourth, remains to be considered. A critic frequently tries, as one of his central occupations, to say why a picture is unbalanced, or what gives a complex work its grace, unity, or serenity. [...] In short, what the critic is doing is selecting from a work those features which are notably or especially responsible for its character. For often in a work there are some features that strike us as making the most outstanding contribution, usually those in which a small alteration would work a remarkable aesthetic change. This fourth relationship might therefore be called that of notable specific dependence; statements of such relationships bulk large in criticism. 	Notable specific dependence					The author then elaborates on the fourth relationship, which he names that of "notable specific dependence", and he explains it by referring to the actual work of critics. He points out that one of the central occupations of critics is selecting features that contribute the most to the aesthetic character of the piece considered. This fourth relationship is therefore particularly interesting for his inquiry. The reference to the work of critic is very frequent all throughout the text: it provides a proving groung for the concepts and theses sustained, and makes their comprehension easier for the reader, making the argument more convincing and the flow of the text smoother.			Adjectival		
